,LOCATION,TIME,ALCOHOL,GDP,LIFE EXPECTANCY,POPULATION,VACCINATION DTP,VACCINATION MEASLES,HEALTH SPENDING
100,ZAF,2018,7.2,13191.637554,63.9,57.673251,82.0,81.7,
101,ZAF,2019,7.2,13218.720394,64.1,58.53285699999999,85.0,83.3,
102,COL,2018,4.2,15814.696386000001,76.5,49.83424,92.0,95.0,1191.885
103,COL,2019,4.1,16484.76194,76.6,50.374478,94.0,95.0,1293.363
104,LVA,2018,11.0,30891.884185000003,75.1,1.92717,96.0,98.0,1860.969
105,LVA,2019,11.6,32938.582309,75.7,1.9138259999999998,100.0,99.0,2025.57
106,LVA,2020,12.1,33008.225642000005,75.5,1.900448,100.0,98.9,2227.896
107,LTU,2018,11.2,36376.535744,76.0,2.801541,92.3,92.2,2396.8089999999997
108,LTU,2019,11.1,39950.760493,76.5,2.794135,92.1,92.7,2682.067
109,LTU,2020,11.4,40124.473439999994,75.1,2.79489,91.4,90.1,2881.844
110,CRI,2018,3.3,21312.71338,80.3,5.00340195767213,94.0,94.0,1529.721
111,CRI,2019,3.1,22738.413337,80.5,5.058007147219019,95.0,95.0,1556.168
112,CRI,2020,3.2,21763.124576,80.6,5.11123821646865,96.7,94.9,1617.8229999999999
113,ARG,2018,8.0,23290.675736,76.5,44.494502000000004,86.0,94.0,
114,ARG,2019,8.0,22997.391755,76.7,44.938712,83.0,86.0, 
